,player_id,Name,Team,Pos,Age,Draft
0,1,Nikola Jokic,DEN,PF-C,25.8,2014 41
1,2,Damian Lillard,POR,PG,31.0,2012 6
2,3,Stephen Curry,GSW,PG-SG,33.3,2009 7
3,4,Chris Paul,PHX,PG,36.2,2005 4
4,5,Trae Young,ATL,PG,22.8,2018 5
5,6,Khris Middleton,MIL,SF-PF,29.9,2012 39
6,7,Joel Embiid,PHI,PF-C,27.3,2014 3
7,8,Giannis Antetokounmpo,MIL,PF-C,26.6,2013 15
8,9,Kawhi Leonard,LAC,SG-SF,30.0,2011 15
9,10,Rudy Gobert,UTA,C,29.0,2013 27
10,11,Paul George,LAC,SF-PF,31.2,2010 10
11,12,Jayson Tatum,BOS,SF-PF,23.3,2017 3
12,13,Kyrie Irving,BKN,PG-SG,29.3,2011 1
13,14,Luka Doncic,DAL,PG-SG,22.3,2018 3
14,15,Devin Booker,PHX,SG-SF,24.7,2015 13
15,16,Bradley Beal,WAS,SG-SF,28.0,2012 3
16,17,Nikola Vucevic,CHI,C,30.7,2011 16
17,18,Deandre Ayton,PHX,C,22.9,2018 1
18,19,Julius Randle,NYK,PF-C,26.6,2014 7
19,20,Jrue Holiday,MIL,PG-SG,31.1,2009 17
20,21,James Harden,BKN,PG-SG,31.9,2009 3
21,22,Bam Adebayo,MIA,PF-C,24.0,2017 14
22,23,Tobias Harris,PHI,SF-PF,29.0,2011 19
23,24,Mikal Bridges,PHX,SG-SF,24.8,2018 10
24,25,Clint Capela,ATL,C,27.1,2014 25
25,26,Domantas Sabonis,IND,PF-C,25.2,2016 11
26,27,John Collins,ATL,PF-C,23.8,2017 19
27,28,Russell Westbrook,WAS,PG,32.6,2008 4
28,29,Kevin Durant,BKN,SF-PF,32.8,2007 2
29,30,Brook Lopez,MIL,C,33.3,2008 10
30,31,Zach LaVine,CHI,SG-SF,26.3,2014 13
31,32,Michael Porter Jr.,DEN,SF-PF,23.0,2019 14
32,33,Jimmy Butler,MIA,SF-PF,31.8,2011 30
33,34,Jonas Valanciunas,MEM,C,29.2,2011 5
34,35,Terry Rozier,CHA,PG-SG,27.3,2015 16
35,36,Donovan Mitchell,UTA,PG-SG,24.8,2017 13
36,37,Karl-Anthony Towns,MIN,C,25.6,2015 1
37,38,Draymond Green,GSW,PF-C,31.3,2012 35
38,39,Robert Covington,POR,PF-C,30.6,2013 20
39,40,Norman Powell,POR,SG-SF,28.1,2015 46
40,41,Kyle Anderson,MEM,SF-PF,27.8,2014 30
41,42,Brandon Ingram,NOP,SF-PF,23.8,2016 2
42,43,Kelly Olynyk,HOU,PF-C,30.2,2013 13
43,44,T.J. McConnell,IND,PG-SG,29.3,2015 20
44,45,DeMar DeRozan,SAS,SG-SF-PF,31.9,2009 9
