player_id,first_name,last_name,birth_year,draft_year,draft_pick
1,Nikola,Jokic,1996,2014,41
2,Damian,Lillard,1991,2012,6
3,Stephen,Curry,1988,2009,7
4,Chris,Paul,1985,2005,4
5,Trae,Young,1999,2018,5
6,Khris,Middleton,1992,2012,39
7,Joel,Embiid,1994,2014,3
8,Giannis,Antetokounmpo,1995,2013,15
9,Kawhi,Leonard,1992,2011,15
10,Rudy,Gobert,1993,2013,27
11,Paul,George,1990,2010,10
12,Jayson,Tatum,1998,2017,3
13,Kyrie,Irving,1992,2011,1
14,Luka,Doncic,1999,2018,3
15,Devin,Booker,1997,2015,13
16,Bradley,Beal,1994,2012,3
17,Nikola,Vucevic,1991,2011,16
18,Deandre,Ayton,1999,2018,1
19,Julius,Randle,1995,2014,7
20,Jrue,Holiday,1990,2009,17
21,James,Harden,1990,2009,3
22,Bam,Adebayo,1998,2017,14
23,Tobias,Harris,1993,2011,19
24,Mikal,Bridges,1997,2018,10
25,Clint,Capela,1994,2014,25
26,Domantas,Sabonis,1996,2016,11
27,John,Collins,1998,2017,19
28,Russell,Westbrook,1989,2008,4
29,Kevin,Durant,1989,2007,2
30,Brook,Lopez,1988,2008,10
31,Zach,LaVine,1995,2014,13
32,Michael,Porter Jr.,1999,2019,14
33,Jimmy,Butler,1990,2011,30
34,Jonas,Valanciunas,1992,2011,5
35,Terry,Rozier,1994,2015,16
36,Donovan,Mitchell,1997,2017,13
37,Karl-Anthony,Towns,1996,2015,1
38,Draymond,Green,1990,2012,35
39,Robert,Covington,1991,2013,20
40,Norman,Powell,1993,2015,46
41,Kyle,Anderson,1994,2014,30
42,Brandon,Ingram,1998,2016,2
43,Kelly,Olynyk,1991,2013,13
44,T.J.,McConnell,1992,2015,20
45,DeMar,DeRozan,1990,2009,9
46,Jaylen,Brown,1997,2016,3
47,Richaun,Holmes,1994,2015,37
48,Zion,Williamson,2001,2019,1
49,Andrew,Wiggins,1995,2014,1
50,Nicolas,Batum,1989,2008,25
51,Buddy,Hield,1992,2016,6
52,LeBron,James,1984,2003,1
53,Jordan,Clarkson,1992,2014,46
54,Kevin,Huerter,1999,2018,19
55,Dejounte,Murray,1997,2016,29
56,Bojan,Bogdanovic,1989,2011,31
57,Joe,Ingles,1988,2009,20
58,Fred,VanVleet,1994,2016,20
59,Danny,Green,1988,2009,46
60,Nerlens,Noel,1994,2013,6
61,De'Aaron,Fox,1997,2017,5
62,Enes,Kanter,1992,2011,3
63,Malcolm,Brogdon,1993,2016,36
64,Pascal,Siakam,1994,2016,27
65,Royce,O'Neale,1993,2015,20
66,Chris,Boucher,1993,2017,20
67,Joe,Harris,1992,2014,33
68,Ben,Simmons,1997,2016,1
69,Miles,Bridges,1998,2018,12
70,Ivica,Zubac,1997,2016,32
71,PJ,Washington,1999,2019,12
72,Myles,Turner,1996,2015,11
73,Anthony,Edwards,2002,2020,1
74,Jakob,Poeltl,1996,2016,9
75,Mike,Conley,1988,2007,4
76,Thaddeus,Young,1989,2007,12
77,Lonzo,Ball,1998,2017,2
78,Collin,Sexton,1999,2018,8
79,Jarrett,Allen,1998,2017,22
80,Reggie,Jackson,1990,2011,24
81,Bogdan,Bogdanovic,1993,2014,27
82,Dennis,Schroder,1994,2013,17
83,Dillon,Brooks,1996,2017,45
84,Ja,Morant,2000,2019,2
85,C.J.,McCollum,1992,2013,10
86,Bobby,Portis,1995,2015,22
87,Tyrese,Haliburton,2000,2020,12
88,Jamal,Murray,1997,2016,7
89,Delon,Wright,1992,2015,20
90,Kristaps,Porzingis,1996,2015,4
91,R.J.,Barrett,2000,2019,3
92,Duncan,Robinson,1994,2018,20
93,Jae'Sean,Tate,1996,2020,
94,Jerami,Grant,1994,2014,39
95,Harrison,Barnes,1992,2012,7
96,Coby,White,2000,2019,7
97,Robert,Williams,1998,2018,27
98,Jae,Crowder,1991,2012,34
99,Ricky,Rubio,1991,2009,5
100,Seth,Curry,1991,2013,20
101,Justin,Holiday,1989,2011,20
102,Montrezl,Harrell,1994,2015,32
103,LaMelo,Ball,2002,2020,3
104,Kyle,Lowry,1986,2006,24
105,Tim,Hardaway Jr.,1992,2013,24
106,Marcus,Morris,1990,2011,14
107,Carmelo,Anthony,1984,2003,3
108,Matisse,Thybulle,1997,2019,20
109,Darius,Garland,2000,2019,5
110,Caris,LeVert,1995,2016,20
111,Donte,DiVincenzo,1997,2018,17
112,Dorian,Finney-Smith,1993,2016,20
113,Mason,Plumlee,1990,2013,22
114,Isaiah,Stewart,2001,2020,16
115,Bruce,Brown,1997,2018,42
116,Anthony,Davis,1993,2012,1
117,Marcus,Smart,1994,2014,6
118,Kendrick,Nunn,1996,2018,20
119,Danilo,Gallinari,1989,2008,6
120,Facundo,Campazzo,1991,2020,
121,Kyle,Kuzma,1996,2017,27
122,Gordon,Hayward,1990,2010,9
123,Kentavious,Caldwell-Pope,1993,2013,8
124,Cameron,Payne,1995,2015,14
125,Kemba,Walker,1990,2011,9
126,Naz,Reid,2000,2019,20
127,Pat,Connaughton,1993,2015,41
128,Jalen,Brunson,1997,2018,33
129,O.G.,Anunoby,1998,2017,23
130,Reggie,Bullock,1991,2013,25
131,Saddiq,Bey,1999,2020,19
132,Jeff,Green,1987,2007,5
133,Josh,Richardson,1994,2015,40
134,Daniel,Theis,1992,2013,20
135,Patrick,Williams,2002,2020,4
136,Derrick,Rose,1989,2008,1
137,Derrick,Favors,1992,2010,3
138,Andre,Drummond,1994,2012,9
139,Lou,Williams,1987,2005,45
140,Brandon,Clarke,1997,2019,21
141,Devonte',Graham,1995,2018,34
142,Evan,Fournier,1993,2012,20
143,Keldon,Johnson,2000,2019,29
144,Desmond,Bane,1999,2020,30
145,Daniel,Gafford,1999,2019,38
146,Cameron,Johnson,1996,2019,11
147,Doug,McDermott,1992,2014,11
148,Will,Barton,1991,2012,40
149,Shai,Gilgeous-Alexander,1999,2018,11
150,Rudy,Gay,1987,2006,8
151,Tyler,Herro,2000,2019,13
152,Raul,Neto,1992,2013,47
153,Eric,Bledsoe,1990,2010,18
154,Christian,Wood,1996,2015,20
155,Kelly,Oubre Jr.,1996,2015,15
156,Rui,Hachimura,1998,2019,9
157,Shake,Milton,1997,2018,54
158,Kent,Bazemore,1990,2012,20
159,De'Anthony,Melton,1998,2018,46
160,Paul,Millsap,1985,2006,47
161,Isaiah,Roby,1998,2019,45
162,Wendell,Carter Jr.,1999,2018,7
163,Terance,Mann,1997,2019,48
164,D'Angelo,Russell,1996,2015,2
165,Josh,Jackson,1997,2017,4
166,Robin,Lopez,1988,2008,15
167,Khem,Birch,1993,2014,20
168,Cory,Joseph,1992,2011,29
169,DeAndre,Jordan,1989,2008,35
170,Kenrich,Williams,1995,2018,20
171,Talen,Horton-Tucker,2001,2019,46
172,Dwight,Howard,1986,2004,1
173,Patty,Mills,1989,2009,55
174,Davis,Bertans,1993,2011,42
175,Goran,Dragic,1986,2008,45
176,Blake,Griffin,1989,2009,1
177,Jusuf,Nurkic,1995,2014,16
178,Jarred,Vanderbilt,1999,2018,41
179,Aaron,Gordon,1996,2014,4
180,Tomas,Satoransky,1992,2012,32
181,Gary,Trent Jr.,1999,2018,37
182,Tyus,Jones,1996,2015,24
183,Lauri,Markkanen,1997,2017,7
184,Grayson,Allen,1996,2018,21
185,Alec,Burks,1992,2011,12
186,Terrence,Ross,1991,2012,8
187,Marc,Gasol,1985,2007,48
188,Juan,Toscano-Anderson,1993,2019,20
189,Andre,Iguodala,1984,2004,9
