player_id,season,position_primary,position_secondary,position_tertiary
1,2020,PF,C,
2,2020,PG,,
3,2020,PG,SG,
4,2020,PG,,
5,2020,PG,,
6,2020,SF,PF,
7,2020,PF,C,
8,2020,PF,C,
9,2020,SG,SF,
10,2020,C,,
11,2020,SF,PF,
12,2020,SF,PF,
13,2020,PG,SG,
14,2020,PG,SG,
15,2020,SG,SF,
16,2020,SG,SF,
17,2020,C,,
18,2020,C,,
19,2020,PF,C,
20,2020,PG,SG,
21,2020,PG,SG,
22,2020,PF,C,
23,2020,SF,PF,
24,2020,SG,SF,
25,2020,C,,
26,2020,PF,C,
27,2020,PF,C,
28,2020,PG,,
29,2020,SF,PF,
30,2020,C,,
31,2020,SG,SF,
32,2020,SF,PF,
33,2020,SF,PF,
34,2020,C,,
35,2020,PG,SG,
36,2020,PG,SG,
37,2020,C,,
38,2020,PF,C,
39,2020,PF,C,
40,2020,SG,SF,
41,2020,SF,PF,
42,2020,SF,PF,
43,2020,PF,C,
44,2020,PG,SG,
45,2020,SG,SF,PF
46,2020,SG,SF,
47,2020,PF,C,
48,2020,PF,,
49,2020,SG,SF,
50,2020,SF,PF,
51,2020,SG,SF,
52,2020,PG,SG,SF
53,2020,PG,SG,
54,2020,SG,SF,
55,2020,PG,SG,
56,2020,SF,PF,
57,2020,SG,SF,
58,2020,PG,SG,
59,2020,SG,SF,
60,2020,PF,C,
61,2020,PG,,
62,2020,C,,
63,2020,PG,SG,
64,2020,PF,C,
65,2020,SF,PF,
66,2020,PF,C,
67,2020,SG,SF,
68,2020,PG,,
69,2020,SF,PF,
70,2020,C,,
71,2020,SF,PF,C
72,2020,PF,C,
73,2020,SG,SF,
74,2020,C,,
75,2020,PG,,
76,2020,PF,C,
77,2020,PG,SG,
78,2020,PG,SG,
79,2020,C,,
80,2020,PG,SG,
81,2020,SG,SF,PF
82,2020,PG,,
83,2020,SG,SF,
84,2020,PG,,
85,2020,PG,SG,
86,2020,PF,C,
87,2020,PG,SG,
88,2020,PG,SG,
89,2020,PG,SG,SF
90,2020,PF,C,
91,2020,SG,SF,
92,2020,SG,SF,
93,2020,SG,SF,PF
94,2020,SF,PF,
95,2020,SF,PF,
96,2020,PG,SG,
97,2020,C,,
98,2020,SF,PF,
99,2020,PG,,
100,2020,PG,SG,
101,2020,SG,SF,
102,2020,PF,C,
103,2020,PG,SG,
104,2020,PG,,
105,2020,SG,SF,
106,2020,PF,C,
107,2020,SF,PF,
108,2020,SG,SF,
109,2020,PG,,
110,2020,SG,SF,
111,2020,PG,SG,
112,2020,SF,PF,
113,2020,PF,C,
114,2020,PF,C,
115,2020,SG,,
116,2020,PF,C,
117,2020,PG,SG,
118,2020,PG,SG,
119,2020,SF,PF,
120,2020,PG,,
121,2020,SF,PF,
122,2020,SG,SF,
123,2020,PG,SG,
124,2020,PG,SG,
125,2020,PG,,
126,2020,C,,
127,2020,SG,SF,
128,2020,PG,SG,
129,2020,SF,PF,
130,2020,SG,SF,
131,2020,SF,,
132,2020,SF,PF,C
133,2020,SG,SF,
134,2020,PF,C,
135,2020,SF,PF,
136,2020,PG,SG,
137,2020,PF,C,
138,2020,C,,
139,2020,PG,SG,
140,2020,SF,PF,
141,2020,PG,SG,
142,2020,SG,SF,
143,2020,SF,PF,
144,2020,PG,SG,
145,2020,C,,
146,2020,SF,PF,
147,2020,SF,PF,
148,2020,SG,SF,
149,2020,PG,SG,SF
150,2020,SF,PF,
151,2020,PG,SG,SF
152,2020,PG,,
153,2020,PG,SG,
154,2020,PF,C,
155,2020,SG,SF,PF
156,2020,SF,PF,
157,2020,PG,SG,
158,2020,SG,SF,
159,2020,PG,SG,
160,2020,PF,C,
161,2020,PF,C,
162,2020,C,,
163,2020,SF,,
164,2020,PG,SG,
165,2020,SG,SF,
166,2020,C,,
167,2020,PF,C,
168,2020,PG,,
169,2020,C,,
170,2020,SF,PF,
171,2020,SG,SF,
172,2020,C,,
173,2020,PG,,
174,2020,PF,C,
175,2020,PG,SG,
176,2020,PF,C,
177,2020,C,,
178,2020,SF,PF,C
179,2020,SF,PF,
180,2020,PG,SG,
181,2020,SG,SF,
182,2020,PG,,
183,2020,PF,C,
184,2020,SG,SF,
185,2020,SG,SF,
186,2020,SG,SF,
187,2020,C,,
188,2020,SF,PF,
189,2020,SG,SF,
190,2020,C,,
191,2020,PG,,
192,2020,PG,SG,
193,2020,PF,C,
194,2020,PF,,
195,2020,PG,,
196,2020,PG,SG,
197,2020,PF,C,
198,2020,PF,C,
199,2020,PG,SG,
200,2020,PF,C,
201,2020,SG,SF,
202,2020,PG,,
203,2020,PF,C,
204,2020,SG,SF,
205,2020,SG,SF,
206,2020,PG,,
207,2020,PG,SG,
208,2020,PG,SG,
209,2020,PF,C,
210,2020,C,,
211,2020,PG,SG,
212,2020,PF,C,
213,2020,SF,PF,
214,2020,SF,,
215,2020,PG,SG,
216,2020,SG,SF,
217,2020,PF,C,
218,2020,PF,C,
219,2020,PG,,
220,2020,PG,SG,
221,2020,PG,SG,
222,2020,SG,SF,
223,2020,SG,SF,
224,2020,SG,SF,
225,2020,C,,
226,2020,SF,,
227,2020,SF,PF,
228,2020,PF,C,
229,2020,SG,SF,
230,2020,SG,SF,
231,2020,SF,PF,
232,2020,SG,SF,
233,2020,SG,SF,
234,2020,SG,SF,
235,2020,SG,SF,
236,2020,PF,C,
237,2020,PG,,
238,2020,SG,,
239,2020,PF,C,
240,2020,PG,PF,C
241,2020,PG,SG,
242,2020,C,,
243,2020,PF,,
244,2020,PG,,
245,2020,C,,
246,2020,C,,
247,2020,SG,SF,
248,2020,PG,SG,
249,2020,PF,C,
250,2020,PF,C,
251,2020,PF,C,
252,2020,PG,,
253,2020,C,,
254,2020,PF,C,
255,2020,C,,
256,2020,PG,,
257,2020,SF,PF,
258,2020,PF,C,
259,2020,SG,SF,
260,2020,SG,SF,PF
261,2020,PG,,
262,2020,SG,SF,
263,2020,SG,SF,
264,2020,PG,SG,
265,2020,SG,,
266,2020,PG,,
267,2020,PF,C,
268,2020,C,,
269,2020,PG,SG,
270,2020,SF,PF,
271,2020,C,,
272,2020,PG,SG,
273,2020,PF,C,
274,2020,SF,PF,
275,2020,PF,C,
276,2020,SG,SF,
277,2020,SG,SF,
278,2020,SG,SF,
279,2020,SG,SF,
280,2020,C,,
281,2020,PF,C,
282,2020,PG,SG,
283,2020,SF,,
284,2020,SG,SF,
285,2020,C,,
286,2020,PF,C,
287,2020,PG,SG,
288,2020,PG,SG,
289,2020,PG,,
290,2020,PG,,
291,2020,SG,SF,
292,2020,SF,PF,
293,2020,PF,C,
294,2020,SG,SF,
295,2020,C,,
296,2020,C,,
297,2020,PG,SG,
298,2020,PG,SG,
299,2020,PF,C,
300,2020,PF,,
301,2020,PG,,
302,2020,SG,SF,
303,2020,SF,PF,
304,2020,SG,SF,
305,2020,SG,SF,
306,2020,SG,SF,
307,2020,PG,,
308,2020,SG,SF,PF
309,2020,C,,
310,2020,SF,PF,
311,2020,SG,SF,
312,2020,SG,,
313,2020,SF,PF,
314,2020,SG,,
315,2020,SG,SF,
316,2020,PF,C,
317,2020,PG,,
318,2020,SG,SF,
319,2020,PF,C,
320,2020,PF,C,
321,2020,SG,SF,
322,2020,PF,C,
323,2020,SF,PF,
324,2020,PG,,
325,2020,PG,,
326,2020,SF,PF,
327,2020,SF,PF,
328,2020,SG,SF,
329,2020,PG,,
330,2020,C,,
331,2020,SF,PF,
332,2020,SF,,
333,2020,SF,PF,
334,2020,SG,SF,
335,2020,SG,,
336,2020,PG,SG,
337,2020,PF,,
338,2020,PF,C,
339,2020,PG,,
340,2020,PF,,
341,2020,SF,PF,C
342,2020,PG,SG,
343,2020,SF,PF,
344,2020,SF,PF,
345,2020,SF,,
346,2020,SG,,
347,2020,SG,SF,
348,2020,PG,,
349,2020,PG,,
350,2020,SF,,
351,2020,PG,SG,
352,2020,SF,PF,
353,2020,SF,,
354,2020,SF,PF,
355,2020,PF,C,
356,2020,PG,,
357,2020,PF,,
358,2020,PG,,
359,2020,SF,PF,
360,2020,C,,
361,2020,SF,,
362,2020,C,,
363,2020,SG,SF,
364,2020,SF,PF,
365,2020,SF,,
366,2020,C,,
367,2020,PG,SG,
368,2020,SF,,
369,2020,PG,,
370,2020,SG,,
371,2020,SF,PF,
372,2020,PF,C,
373,2020,SG,SF,
374,2020,PG,,
375,2020,SF,PF,
376,2020,PF,C,
377,2020,SF,PF,
378,2020,SF,PF,
379,2020,PG,SG,
380,2020,SG,,
381,2020,PG,SG,
382,2020,PF,,
383,2020,PF,C,
384,2020,PG,,
385,2020,PG,,
386,2020,C,,
387,2020,SF,PF,
388,2020,SF,,
389,2020,PG,SG,
390,2020,PG,SG,SF
391,2020,C,,
392,2020,SG,,
393,2020,C,,
394,2020,PG,,
395,2020,SG,SF,
396,2020,PF,,
397,2020,SG,,
398,2020,SF,,
399,2020,C,,
400,2020,PF,C,
401,2020,SF,,
402,2020,SG,,
403,2020,SF,PF,
404,2020,SG,SF,
405,2020,SG,,
406,2020,SF,PF,
407,2020,SG,SF,
408,2020,SF,,
409,2020,PF,C,
410,2020,SG,,
411,2020,PG,SF,PF
412,2020,SF,,
413,2020,SF,PF,
414,2020,PF,,
415,2020,SF,,
416,2020,SG,SF,
417,2020,SF,PF,
418,2020,PG,,
419,2020,PG,,
420,2020,SF,,
421,2020,PF,C,
422,2020,PF,,
423,2020,PG,SG,
424,2020,SG,,
425,2020,PF,,
426,2020,PG,,
427,2020,SF,PF,
428,2020,SG,,
429,2020,PG,,
430,2020,SG,SF,
431,2020,SF,PF,
432,2020,PG,SG,
