Name,Team,Pos,Age,Draft
Nikola Jokic,DEN,PF-C,25.8,2014 41
Damian Lillard,POR,PG,31.0,2012 6
Stephen Curry,GSW,PG-SG,33.3,2009 7
Chris Paul,PHX,PG,36.2,2005 4
Trae Young,ATL,PG,22.8,2018 5
Khris Middleton,MIL,SF-PF,29.9,2012 39
Joel Embiid,PHI,PF-C,27.3,2014 3
Giannis Antetokounmpo,MIL,PF-C,26.6,2013 15
Kawhi Leonard,LAC,SG-SF,30.0,2011 15
Rudy Gobert,UTA,C,29.0,2013 27
Paul George,LAC,SF-PF,31.2,2010 10
Jayson Tatum,BOS,SF-PF,23.3,2017 3
Kyrie Irving,BKN,PG-SG,29.3,2011 1
Luka Doncic,DAL,PG-SG,22.3,2018 3
Devin Booker,PHX,SG-SF,24.7,2015 13
Bradley Beal,WAS,SG-SF,28.0,2012 3
Nikola Vucevic,CHI,C,30.7,2011 16
Deandre Ayton,PHX,C,22.9,2018 1
Julius Randle,NYK,PF-C,26.6,2014 7
Jrue Holiday,MIL,PG-SG,31.1,2009 17
James Harden,BKN,PG-SG,31.9,2009 3
Bam Adebayo,MIA,PF-C,24.0,2017 14
Tobias Harris,PHI,SF-PF,29.0,2011 19
Mikal Bridges,PHX,SG-SF,24.8,2018 10
Clint Capela,ATL,C,27.1,2014 25
Domantas Sabonis,IND,PF-C,25.2,2016 11
John Collins,ATL,PF-C,23.8,2017 19
Russell Westbrook,WAS,PG,32.6,2008 4
Kevin Durant,BKN,SF-PF,32.8,2007 2
Brook Lopez,MIL,C,33.3,2008 10
Zach LaVine,CHI,SG-SF,26.3,2014 13
Michael Porter Jr.,DEN,SF-PF,23.0,2019 14
Jimmy Butler,MIA,SF-PF,31.8,2011 30
Jonas Valanciunas,MEM,C,29.2,2011 5
Terry Rozier,CHA,PG-SG,27.3,2015 16
Donovan Mitchell,UTA,PG-SG,24.8,2017 13
Karl-Anthony Towns,MIN,C,25.6,2015 1
Draymond Green,GSW,PF-C,31.3,2012 35
Robert Covington,POR,PF-C,30.6,2013 20
Norman Powell,POR,SG-SF,28.1,2015 46
Kyle Anderson,MEM,SF-PF,27.8,2014 30
Brandon Ingram,NOR,SF-PF,23.8,2016 2
Kelly Olynyk,HOU,PF-C,30.2,2013 13
T.J. McConnell,IND,PG-SG,29.3,2015 20
DeMar DeRozan,SAS,SG-SF-PF,31.9,2009 9
Jaylen Brown,BOS,SG-SF,24.7,2016 3
Richaun Holmes,SAC,PF-C,27.7,2015 37
Zion Williamson,NOR,PF,21.0,2019 1
Andrew Wiggins,GSW,SG-SF,26.4,2014 1
Nicolas Batum,LAC,SF-PF,32.6,2008 25
Buddy Hield,SAC,SG-SF,28.5,2016 6
LeBron James,LAL,PG-SG-SF,36.5,2003 1
Jordan Clarkson,UTA,PG-SG,29.1,2014 46
Kevin Huerter,ATL,SG-SF,22.9,2018 19
Dejounte Murray,SAS,PG-SG,24.8,2016 29
Bojan Bogdanovic,UTA,SF-PF,32.2,2011 31
Joe Ingles,UTA,SG-SF,33.8,2009 20
Fred VanVleet,TOR,PG-SG,27.4,2016 20
Danny Green,PHI,SG-SF,34.0,2009 46
Nerlens Noel,NYK,PF-C,27.2,2013 6
De'Aaron Fox,SAC,PG,23.5,2017 5
Enes Kanter,POR,C,29.1,2011 3
Malcolm Brogdon,IND,PG-SG,28.6,2016 36
Pascal Siakam,TOR,PF-C,27.4,2016 27
Royce O'Neale,UTA,SF-PF,28.1,2015 20
Chris Boucher,TOR,PF-C,28.5,2017 20
Joe Harris,BKN,SG-SF,29.8,2014 33
Ben Simmons,PHI,PG,25.0,2016 1
Miles Bridges,CHA,SF-PF,23.3,2018 12
Ivica Zubac,LAC,C,24.3,2016 32
PJ Washington,CHA,SF-PF-C,22.9,2019 12
Myles Turner,IND,PF-C,25.3,2015 11
Anthony Edwards,MIN,SG-SF,19.9,2020 1
Jakob Poeltl,SAS,C,25.7,2016 9
Mike Conley,UTA,PG,33.7,2007 4
Thaddeus Young,CHI,PF-C,33.0,2007 12
Lonzo Ball,NOR,PG-SG,23.7,2017 2
Collin Sexton,CLE,PG-SG,22.5,2018 8
Jarrett Allen,CLE,C,23.2,2017 22
Reggie Jackson,LAC,PG-SG,31.2,2011 24
Bogdan Bogdanovic,ATL,SG-SF-PF,28.9,2014 27
Dennis Schroder,LAL,PG,27.8,2013 17
Dillon Brooks,MEM,SG-SF,25.4,2017 45
Ja Morant,MEM,PG,21.9,2019 2
C.J. McCollum,POR,PG-SG,29.8,2013 10
Bobby Portis,MIL,PF-C,26.4,2015 22
Tyrese Haliburton,SAC,PG-SG,21.3,2020 12
Jamal Murray,DEN,PG-SG,24.4,2016 7
Delon Wright,SAC,PG-SG-SF,29.2,2015 20
Kristaps Porzingis,DAL,PF-C,25.9,2015 4
R.J. Barrett,NYK,SG-SF,21.1,2019 3
Duncan Robinson,MIA,SG-SF,27.2,2018 20
Jae'Sean Tate,HOU,SG-SF-PF,25.7,2020
Jerami Grant,DET,SF-PF,27.3,2014 39
Harrison Barnes,SAC,SF-PF,29.1,2012 7
Coby White,CHI,PG-SG,21.4,2019 7
Robert Williams,BOS,C,23.7,2018 27
Jae Crowder,PHX,SF-PF,31.0,2012 34
Ricky Rubio,MIN,PG,30.7,2009 5
Seth Curry,PHI,PG-SG,30.9,2013 20
Justin Holiday,IND,SG-SF,32.2,2011 20
Montrezl Harrell,LAL,PF-C,27.4,2015 32
LaMelo Ball,CHA,PG-SG,19.9,2020 3
Kyle Lowry,TOR,PG,35.3,2006 24
Tim Hardaway Jr.,DAL,SG-SF,29.3,2013 24
Marcus Morris,LAC,PF-C,31.8,2011 14
Carmelo Anthony,POR,SF-PF,37.1,2003 3
Matisse Thybulle,PHI,SG-SF,24.3,2019 20
Darius Garland,CLE,PG,21.4,2019 5
Caris LeVert,IND,SG-SF,26.9,2016 20
Donte DiVincenzo,MIL,PG-SG,24.4,2018 17
Dorian Finney-Smith,DAL,SF-PF,28.2,2016 20
Mason Plumlee,DET,PF-C,31.3,2013 22
Isaiah Stewart,DET,PF-C,20.1,2020 16
Bruce Brown,BKN,SG,24.9,2018 42
Anthony Davis,LAL,PF-C,28.3,2012 1
Marcus Smart,BOS,PG-SG,27.3,2014 6
Kendrick Nunn,MIA,PG-SG,25.9,2018 20
Danilo Gallinari,ATL,SF-PF,32.9,2008 6
Facundo Campazzo,DEN,PG,30.3,2020
Kyle Kuzma,LAL,SF-PF,25.9,2017 27
Gordon Hayward,CHA,SG-SF,31.3,2010 9
Kentavious Caldwell-Pope,LAL,PG-SG,28.4,2013 8
Cameron Payne,PHX,PG-SG,26.9,2015 14
Kemba Walker,BOS,PG,31.2,2011 9
Naz Reid,MIN,C,21.9,2019 20
Pat Connaughton,MIL,SG-SF,28.5,2015 41
Jalen Brunson,DAL,PG-SG,24.8,2018 33
O.G. Anunoby,TOR,SF-PF,24.0,2017 23
Reggie Bullock,NYK,SG-SF,30.3,2013 25
Saddiq Bey,DET,SF,22.2,2020 19
Jeff Green,BKN,SF-PF-C,34.9,2007 5
Josh Richardson,DAL,SG-SF,27.8,2015 40
Daniel Theis,CHI,PF-C,29.2,2013 20
Patrick Williams,CHI,SF-PF,19.9,2020 4
Derrick Rose,NYK,PG-SG,32.7,2008 1
Derrick Favors,UTA,PF-C,30.0,2010 3
Andre Drummond,LAL,C,27.9,2012 9
Lou Williams,ATL,PG-SG,34.7,2005 45
Brandon Clarke,MEM,SF-PF,24.8,2019 21
Devonte' Graham,CHA,PG-SG,26.4,2018 34
Evan Fournier,BOS,SG-SF,28.7,2012 20
Keldon Johnson,SAS,SF-PF,21.6,2019 29
Desmond Bane,MEM,PG-SG,23.0,2020 30
Daniel Gafford,WAS,C,22.8,2019 38
Cameron Johnson,PHX,SF-PF,25.3,2019 11
Doug McDermott,IND,SF-PF,29.5,2014 11
Will Barton,DEN,SG-SF,30.5,2012 40
Shai Gilgeous-Alexander,OKC,PG-SG-SF,23.0,2018 11
Rudy Gay,SAS,SF-PF,34.9,2006 8
Tyler Herro,MIA,PG-SG-SF,21.5,2019 13
Raul Neto,WAS,PG,29.1,2013 47
Eric Bledsoe,NOR,PG-SG,31.6,2010 18
Christian Wood,HOU,PF-C,25.8,2015 20
